Date,Day ,Week,Time Interval,Time,Duration,Duration in Hour,Distance,Stacked,Stacked Numeric,Base,Trip Supplement,Fare,Promotion, Tip ,Earnings,Hourly Wage,Tip Percentage,Postal Code,General Area,,,
2022-09-18,Sun,38,18 to 19,18,0:25:46,0.43,2.1,NO,0, $2.73 , $1.26 , $3.99 , $-   , $3.00 , $6.99 , $16.28 ,0.429184549, L5L2A6 , L5L ,,,
2022-09-18,Sun,38,19 to 20,19,0:56:08,0.94,7.9,YES,1, $5.13 , $3.99 , $9.12 , $-   , $-   , $9.12 , $9.75 ,0, L5L4K3 , L5L ,,,
2022-09-20,Tue,39,18 to 19,18,1:13:00,1.22,10.1,YES,1, $3.41 , $3.06 , $6.47 , $4.52 , $10.95 , $21.94 , $18.03 ,0.499088423, L5M1G5 , L5M ,,,
2022-09-23,Fri,39,12 to 13,12,0:47:16,0.79,8.2,YES,1, $5.53 , $2.64 , $8.17 , $-   , $3.00 , $11.17 , $14.18 ,0.268576544, L5C2C7 , L5C ,,,
2022-09-26,Mon,40,11 to 12,11,0:29:49,0.50,2.6,NO,0, $2.63 , $0.22 , $2.85 , $1.84 , $3.60 , $8.29 , $16.68 ,0.434258142, L5M7R1 , L5M ,,,
2022-09-26,Mon,40,12 to 13,12,0:31:25,0.52,4.1,YES,1, $4.06 , $0.93 , $4.99 , $2.84 , $4.90 , $12.73 , $24.31 ,0.384917518, L5M0Z9 , L5M ,,,
2022-09-27,Tue,40,11 to 12,11,0:45:12,0.75,4.8,YES,1, $4.12 , $1.60 , $5.72 , $2.06 , $5.00 , $12.78 , $16.96 ,0.391236307, L5M3N9 , L5M ,,,
2022-09-27,Tue,40,12 to 13,12,0:38:33,0.64,4.1,YES,1, $4.10 , $1.01 , $5.11 , $2.46 , $2.00 , $9.57 , $14.89 ,0.208986416, L5C1P7 , L5C ,,,
2022-09-28,Wed,40,12 to 13,12,0:44:19,0.74,4.8,YES,1, $4.49 , $0.73 , $5.22 , $2.25 , $6.20 , $13.67 , $18.51 ,0.453547915, L5C4B9 , L5C ,,,
2022-09-28,Wed,40,12 to 13,12,0:15:22,0.26,1.3,NO,0, $2.10 , $-   , $2.10 , $1.26 , $1.00 , $4.36 , $17.02 ,0.229357798, L5C4S7 , L5C ,,,
2022-09-29,Thu,40,12 to 13,12,0:36:15,0.60,4.2,NO,0, $3.08 , $0.94 , $4.02 , $1.54 , $5.34 , $10.90 , $18.04 ,0.489908257, L5M6V4 , L5M ,,,
2022-09-29,Thu,40,12 to 13,12,0:34:53,0.58,3.8,YES,1, $4.27 , $-   , $4.27 , $2.14 , $4.73 , $11.14 , $19.16 ,0.42459605, L5M0P1 , L5M ,,,
2022-09-29,Thu,40,13 to 14,13,0:14:13,0.24,0.9,NO,0, $2.21 , $-   , $2.21 , $1.11 , $2.00 , $5.32 , $22.45 ,0.37593985, L5M6W7 , L5M ,,,
2022-09-29,Thu,40,13 to 14,13,0:18:31,0.31,1.7,NO,0, $2.34 , $-   , $2.34 , $1.17 , $4.97 , $8.48 , $27.48 ,0.586084906, L5M6Y2 , L5M ,,,
2022-09-29,Thu,40,17 to 18,17,0:21:31,0.36,1.4,NO,0, $2.47 , $0.04 , $2.51 , $0.49 , $3.02 , $6.02 , $16.79 ,0.50166113, L5L2Z6 , L5L ,,,
2022-09-29,Thu,40,18 to 19,18,0:22:42,0.38,0.9,NO,0, $2.02 , $0.58 , $2.60 , $0.40 , $-   , $3.00 , $7.93 ,0, L5M6Z8 , L5M ,,,
2022-09-29,Thu,40,18 to 19,18,0:15:23,0.26,0.6,NO,0, $2.03 , $0.56 , $2.59 , $0.41 , $2.00 , $5.00 , $19.50 ,0.4, L5M0W5 , L5M ,,,
2022-09-29,Thu,40,18 to 19,18,0:26:25,0.44,2.5,YES,1, $3.31 , $2.26 , $5.57 , $0.66 , $-   , $6.23 , $14.15 ,0, L5M4N3 , L5M ,,,
2022-09-30,Fri,40,12 to 13,12,0:34:38,0.58,2.7,NO,0, $2.51 , $-   , $2.51 , $1.76 , $-   , $4.27 , $7.40 ,0, L5L5T5 , L5L ,,,
2022-09-30,Fri,40,12 to 13,12,0:30:37,0.51,2.8,YES,1, $3.35 , $1.06 , $4.41 , $2.35 , $25.26 , $32.02 , $62.75 ,0.788881949, L5L5Y4 , L5L ,,,
2022-09-30,Fri,40,13 to 14,13,0:12:02,0.20,1.8,NO,0, $2.42 , $-   , $2.42 , $1.69 , $-   , $4.11 , $20.49 ,0, L6H6P5 , L6H ,,,
2022-09-30,Fri,40,13 to 14,13,0:42:11,0.70,6.2,YES,1, $5.38 , $0.15 , $5.53 , $3.77 , $8.22 , $17.52 , $24.92 ,0.469178082, L5L2M1 , L5L ,,,
2022-10-02,Sun,40,12 to 13,12,0:31:00,0.52,3.6,YES,1, $3.64 , $1.65 , $5.29 , $2.55 , $5.52 , $13.36 , $25.86 ,0.413173653, L5L4C6 , L5L ,,,
